Game,Date,Team,Home,Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
30,12/16/2018,LAL,0,Lance Stephenson\stephla01,22:46,4,8,.500,3,6,.500,1,4,.250,1,3,4,5,1,0,3,4,12,+8,.615,.688,.750,.500,4.8,12.7,9.0,29.6,1.9,0.0,23.5,22.2,106,117
30,12/16/2018,LAL,0,Moritz Wagner\wagnemo01,16:35,5,7,.714,2,3,.667,0,0,,1,2,3,1,0,0,1,1,12,+11,.857,.857,.429,.000,6.6,11.6,9.2,9.8,0.0,0.0,12.5,19.1,143,122
30,12/16/2018,LAL,0,Ivica Zubac\zubaciv01,6:35,2,2,1.000,0,0,,0,0,,0,2,2,1,0,0,0,0,4,+6,1.000,1.000,.000,.000,0.0,29.2,15.5,24.8,0.0,0.0,0.0,12.1,204,117
30,12/16/2018,LAL,0,Isaac Bonga\bongais01,3:54,1,1,1.000,0,0,,1,2,.500,0,1,1,1,0,0,0,0,3,0,.798,1.000,.000,2.000,0.0,24.6,13.1,38.8,0.0,0.0,0.0,19.1,171,118
30,12/16/2018,LAL,0,Michael Beasley\beaslmi01,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
31,12/18/2018,LAL,0,Kyle Kuzma\kuzmaky01,42:36,9,21,.429,2,8,.250,2,2,1.000,0,11,11,3,1,0,3,0,22,-1,.503,.476,.381,.095,0.0,28.2,14.1,10.6,1.1,0.0,12.1,24.6,94,111
31,12/18/2018,LAL,0,LeBron James\jamesle01,41:12,13,23,.565,2,7,.286,8,13,.615,1,12,13,8,1,1,5,1,36,+4,.627,.609,.304,.565,2.6,31.8,17.2,34.7,1.1,2.0,14.8,34.4,117,109
31,12/18/2018,LAL,0,Lonzo Ball\balllo01,39:25,9,16,.563,5,9,.556,0,2,.000,2,4,6,3,2,0,3,6,23,-8,.681,.719,.563,.125,5.5,11.1,8.3,11.8,2.3,0.0,15.1,21.2,118,109
31,12/18/2018,LAL,0,Josh Hart\hartjo01,34:22,2,10,.200,1,5,.200,1,2,.500,2,3,5,1,1,0,0,0,6,-5,.276,.250,.500,.200,6.3,9.5,7.9,3.6,1.3,0.0,0.0,13.3,75,112
31,12/18/2018,LAL,0,Tyson Chandler\chandty01,17:08,2,2,1.000,0,0,,1,2,.500,2,2,4,3,0,2,0,2,5,-3,.868,1.000,.000,1.000,12.7,12.7,12.7,23.1,0.0,9.8,0.0,7.1,195,105
